Season,batter,batsman_run
2012,A Ashish Reddy,35
2012,A Chandila,0
2012,A Mishra,16
2012,A Nehra,9
2012,AA Chavan,7
2012,AA Jhunjhunwala,24
2012,AB McDonald,17
2012,AB de Villiers,241
2012,AC Blizzard,0
2012,AC Gilchrist,118
2012,AC Thomas,19
2012,AD Mascarenhas,9
2012,AD Mathews,116
2012,AD Russell,47
2012,AG Murtaza,3
2012,AL Menaria,159
2012,AM Nayar,11
2012,AM Rahane,403
2012,AP Majumdar,87
2012,AT Rayudu,248
2012,AUK Pathan,6
2012,Ankit Sharma,2
2012,Azhar Mahmood,186
2012,B Chipli,26
2012,B Kumar,38
2012,BA Bhatt,6
2012,BB McCullum,278
2012,BB Samantray,2
2012,BJ Hodge,168
2012,Bipul Sharma,19
2012,CA Lynn,6
2012,CH Gayle,663
2012,CJ Ferguson,35
2012,CJ McKay,8
2012,CL White,426
2012,DA Miller,98
2012,DA Warner,256
2012,DB Das,96
2012,DH Yagnik,25
2012,DJ Bravo,262
2012,DJ Harris,96
2012,DJ Hussey,365
2012,DJ Jacobs,0
2012,DL Vettori,7
2012,DPMD Jayawardene,315
2012,DR Smith,157
2012,DS Kulkarni,10
2012,DT Christian,104
2012,DW Steyn,12
2012,F du Plessis,270
2012,G Gambhir,499
2012,GB Hogg,13
2012,Gurkeerat Singh,86
2012,HH Gibbs,81
2012,HV Patel,5
2012,Harbhajan Singh,74
2012,Harmeet Singh,14
2012,Harpreet Singh,6
2012,IK Pathan,110
2012,IR Jaggi,15
2012,J Botha,50
2012,J Syed Mohammad,4
2012,J Theron,7
2012,JA Morkel,72
2012,JD Ryder,241
2012,JEC Franklin,154
2012,JH Kallis,347
2012,JP Duminy,244
2012,K Upadhyay,11
2012,KA Pollard,124
2012,KC Sangakkara,186
2012,KD Karthik,199
2012,KK Cooper,8
2012,KMDN Kulasekara,5
2012,KP Pietersen,254
2012,LR Shukla,36
2012,LRPL Taylor,197
2012,M Kaif,14
2012,M Kartik,12
2012,M Manhas,89
2012,M Morkel,1
2012,M Muralitharan,6
2012,M Vijay,313
2012,MA Agarwal,159
2012,MD Mishra,4
2012,MEK Hussey,261
2012,MJ Clarke,98
2012,MK Pandey,131
2012,MK Tiwary,175
2012,MM Patel,1
2012,MN Samuels,72
2012,MS Bisla,138
2012,MS Dhoni,295
2012,Mandeep Singh,364
2012,N Saini,140
2012,NLTC Perera,4
2012,NV Ojha,208
2012,OA Shah,196
2012,P Awana,4
2012,P Dogra,15
2012,P Kumar,24
2012,P Negi,36
2012,P Parameswaran,0
2012,PA Patel,173
2012,PA Reddy,73
2012,PC Valthaty,16
2012,PP Chawla,59
2012,PP Ojha,4
2012,R Ashwin,7
2012,R Bhatia,16
2012,R Dravid,377
2012,R Sharma,0
2012,R Vinay Kumar,19
2012,RA Jadeja,123
2012,RE Levi,1
2012,RG Sharma,338
2012,RJ Harris,18
2012,RJ Peterson,32
2012,RN ten Doeschate,11
2012,RP Singh,6
2012,RV Uthappa,312
2012,S Anirudha,19
2012,S Aravind,14
2012,S Badrinath,146
2012,S Dhawan,507
2012,S Nadeem,0
2012,SC Ganguly,229
2012,SD Chitnis,66
2012,SE Marsh,265
2012,SK Raina,349
2012,SL Malinga,50
2012,SP Goswami,22
2012,SP Narine,9
2012,SPD Smith,285
2012,SR Tendulkar,308
2012,SR Watson,255
2012,SS Tiwary,164
2012,STR Binny,90
2012,Shakib Al Hasan,71
2012,Sunny Gupta,0
2012,TM Dilshan,285
2012,UBT Chand,36
2012,UT Yadav,2
2012,V Kohli,293
2012,V Pratap Singh,0
2012,V Sehwag,442
2012,VR Aaron,1
2012,WD Parnell,8
2012,WP Saha,6
2012,Y Nagar,136
2012,Y Venugopal Rao,114
2012,YK Pathan,171
2012,Z Khan,1
2013,A Ashish Reddy,125
2013,A Chandila,4
2013,A Mishra,89
2013,A Mithun,2
2013,A Mukund,19
2013,A Nehra,1
2013,AB Agarkar,12
2013,AB Dinda,9
2013,AB McDonald,0
2013,AB de Villiers,373
2013,AC Gilchrist,294
2013,AD Mascarenhas,5
2013,AD Mathews,172
2013,AD Russell,11
2013,AG Murtaza,5
2013,AJ Finch,456
2013,AL Menaria,1
2013,AM Nayar,66
2013,AM Rahane,488
2013,AP Tare,123
2013,AS Rajpoot,2
2013,AT Rayudu,265
2013,Azhar Mahmood,196
2013,B Chipli,16
2013,B Kumar,52
2013,B Laughlin,4
2013,B Lee,21
2013,BAW Mendis,2
2013,BB McCullum,6
2013,BB Samantray,123
2013,BJ Hodge,293
2013,BJ Rohrer,193
2013,BMAJ Mendis,23
2013,CA Pujara,92
2013,CH Gayle,720
2013,CH Morris,14
2013,CL White,226
2013,CM Gautam,44
2013,DA Miller,418
2013,DA Warner,410
2013,DB Das,75
2013,DB Ravi Teja,14
2013,DH Yagnik,125
2013,DJ Bravo,121
2013,DJ Hussey,235
2013,DJG Sammy,174
2013,DPMD Jayawardene,331
2013,DR Smith,418
2013,DT Christian,6
2013,DW Steyn,53
2013,EJG Morgan,307
2013,G Gambhir,406
2013,GH Vihari,241
2013,GJ Maxwell,36
2013,Gurkeerat Singh,108
2013,Harbhajan Singh,116
2013,Harmeet Singh,3
2013,IC Pandey,0
2013,IK Pathan,153
2013,Iqbal Abdulla,8
2013,J Botha,43
2013,J Syed Mohammad,10
2013,JA Morkel,46
2013,JD Unadkat,2
2013,JH Kallis,311
2013,JP Faulkner,57
2013,K Upadhyay,1
2013,KA Pollard,420
2013,KB Arun Karthik,41
2013,KC Sangakkara,120
2013,KD Karthik,510
2013,KK Cooper,39
2013,KK Nair,9
2013,KL Rahul,20
2013,KM Jadhav,152
2013,KV Sharma,85
2013,KW Richardson,34
2013,L Balaji,9
2013,LA Pomersbach,58
2013,LJ Wright,106
2013,LR Shukla,3
2013,LRPL Taylor,63
2013,M Kartik,2
2013,M Manhas,13
2013,M Morkel,57
2013,M Rawat,5
2013,M Vijay,312
2013,M Vohra,161
2013,MA Agarwal,67
2013,MC Henriques,165
2013,MC Juneja,125
2013,MDKJ Perera,14
2013,MEK Hussey,733
2013,MG Johnson,39
2013,MK Pandey,136
2013,MK Tiwary,146
2013,MM Sharma,0
2013,MN Samuels,8
2013,MR Marsh,140
2013,MS Bisla,255
2013,MS Dhoni,461
2013,MS Gony,45
2013,Mandeep Singh,260
2013,Mohammed Shami,5
2013,NLTC Perera,235
2013,NM Coulter-Nile,9
2013,NV Ojha,9
2013,OA Shah,25
2013,P Awana,1
2013,P Dogra,5
2013,P Kumar,47
2013,PA Patel,294
2013,PA Reddy,91
2013,PC Valthaty,6
2013,PJ Sangwan,4
2013,PP Chawla,64
2013,PP Ojha,2
2013,PV Tambe,3
2013,Parvez Rasool,5
2013,Q de Kock,6
2013,R Ashwin,35
2013,R Bhatia,99
2013,R Dhawan,21
2013,R Dravid,471
2013,R McLaren,3
2013,R Rampaul,38
2013,R Sathish,109
2013,R Sharma,11
2013,R Shukla,1
2013,R Vinay Kumar,70
2013,RA Jadeja,201
2013,RE van der Merwe,22
2013,RG Sharma,538
2013,RJ Harris,2
2013,RN ten Doeschate,85
2013,RT Ponting,52
2013,RV Gomez,4
2013,RV Uthappa,434
2013,S Anirudha,0
2013,S Badrinath,124
2013,S Dhawan,311
2013,S Kaul,7
2013,S Nadeem,14
2013,S Narwal,23
2013,S Sreesanth,1
2013,SE Marsh,300
2013,SK Raina,548
2013,SK Trivedi,3
2013,SL Malinga,9
2013,SMSM Senanayake,10
2013,SP Narine,21
2013,SPD Smith,159
2013,SR Tendulkar,287
2013,SR Watson,543
2013,SS Tiwary,109
2013,STR Binny,293
2013,SV Samson,206
2013,SW Tait,1
2013,Sachin Baby,3
2013,Sandeep Sharma,0
2013,TL Suman,52
2013,TM Dilshan,76
2013,UA Birla,7
2013,UBT Chand,158
2013,UT Yadav,38
2013,V Kohli,639
2013,V Sehwag,295
2013,WD Parnell,5
2013,WP Saha,70
2013,X Thalaivan Sargunam,10
2013,YK Pathan,332
2013,Yuvraj Singh,238
2014,A Mishra,4
2014,AB Dinda,4
2014,AB de Villiers,395
2014,AD Russell,2
2014,AJ Finch,309
2014,AM Nayar,43
2014,AM Rahane,339
2014,AN Ahmed,4
2014,AP Tare,126
2014,AR Patel,62
2014,AT Rayudu,361
2014,Ankit Sharma,34
2014,B Kumar,1
2014,BB McCullum,405
2014,BCJ Cutting,8
2014,BE Hendricks,0
2014,BJ Hodge,101
2014,BR Dunk,40
2014,CA Lynn,58
2014,CA Pujara,125
2014,CH Gayle,196
2014,CJ Anderson,265
2014,CM Gautam,121
2014,DA Miller,446
2014,DA Warner,528
2014,DH Yagnik,4
2014,DJ Bravo,8
2014,DJ Hussey,116
2014,DJG Sammy,108
2014,DR Smith,566
2014,DS Kulkarni,35
2014,DW Steyn,22
2014,F du Plessis,303
2014,G Gambhir,335
2014,GJ Bailey,257
2014,GJ Maxwell,552
2014,HV Patel,13
2014,Harbhajan Singh,28
2014,IK Pathan,55
2014,Imran Tahir,8
2014,JA Morkel,45
2014,JD Unadkat,1
2014,JDS Neesham,42
2014,JH Kallis,151
2014,JJ Bumrah,1
2014,JO Holder,16
2014,JP Duminy,410
2014,JP Faulkner,181
2014,KA Pollard,273
2014,KD Karthik,325
2014,KK Cooper,39
2014,KK Nair,330
2014,KL Rahul,166
2014,KM Jadhav,149
2014,KP Pietersen,294
2014,KV Sharma,42
2014,KW Richardson,1
2014,Karanveer Singh,1
2014,L Balaji,1
2014,LMP Simmons,394
2014,LR Shukla,31
2014,LRPL Taylor,59
2014,M Manhas,35
2014,M Morkel,4
2014,M Vijay,207
2014,M Vohra,324
2014,M de Lange,1
2014,MA Agarwal,115
2014,MA Starc,85
2014,MC Henriques,9
2014,MEK Hussey,209
2014,MG Johnson,56
2014,MK Pandey,409
2014,MK Tiwary,152
2014,MM Sharma,1
2014,MS Bisla,3
2014,MS Dhoni,371
2014,Mandeep Singh,24
2014,Mohammed Shami,3
2014,NJ Maddinson,16
2014,NV Ojha,232
2014,P Kumar,1
2014,PA Patel,205
2014,PP Chawla,31
2014,PP Ojha,4
2014,PV Tambe,5
2014,Q de Kock,153
2014,R Ashwin,45
2014,R Bhatia,67
2014,R Dhawan,82
2014,R Rampaul,13
2014,R Shukla,18
2014,R Tewatia,16
2014,R Vinay Kumar,4
2014,RA Jadeja,146
2014,RG Sharma,390
2014,RN ten Doeschate,52
2014,RR Rossouw,39
2014,RV Uthappa,660
2014,S Anirudha,3
2014,S Dhawan,377
2014,S Gopal,11
2014,S Kaul,2
2014,S Nadeem,7
2014,S Rana,73
2014,SA Yadav,164
2014,SE Marsh,70
2014,SK Raina,523
2014,SL Malinga,2
2014,SP Narine,10
2014,SPD Smith,152
2014,SR Watson,246
2014,STR Binny,123
2014,SV Samson,339
2014,Sandeep Sharma,2
2014,Shakib Al Hasan,229
2014,Shivam Sharma,5
2014,TG Southee,4
2014,UBT Chand,2
2014,UT Yadav,2
2014,V Kohli,359
2014,V Sehwag,455
2014,VH Zol,29
2014,VR Aaron,35
2014,VS Malik,1
2014,WD Parnell,2
2014,WP Saha,362
2014,Y Venugopal Rao,71
2014,YK Pathan,268
2014,YS Chahal,1
2014,YV Takawale,104
2014,Yuvraj Singh,376
2014,Z Khan,8
2015,A Ashish Reddy,73
2015,A Mishra,8
2015,A Nehra,1
2015,AB de Villiers,513
2015,AD Mathews,144
2015,AD Russell,326
2015,AJ Finch,23
2015,AM Rahane,540
2015,AN Ahmed,10
2015,AP Tare,14
2015,AR Patel,206
2015,AT Rayudu,281
2015,Ankit Sharma,7
2015,Anureet Singh,18
2015,Azhar Mahmood,6
2015,B Kumar,17
2015,BB McCullum,436
2015,BE Hendricks,1
2015,Bipul Sharma,1
2015,CH Gayle,491
2015,CH Morris,76
2015,CJ Anderson,114
2015,CM Gautam,4
2015,D Wiese,122
2015,DA Miller,357
2015,DA Warner,562
2015,DJ Bravo,195
2015,DJ Hooda,151
2015,DJ Muthuswami,1
2015,DJG Sammy,13
2015,DR Smith,399
2015,DS Kulkarni,4
2015,DW Steyn,20
2015,EJG Morgan,187
2015,F du Plessis,380
2015,G Gambhir,327
2015,GB Hogg,7
2015,GH Vihari,39
2015,GJ Bailey,259
2015,GJ Maxwell,146
2015,Gurkeerat Singh,35
2015,HH Pandya,112
2015,HV Patel,19
2015,Harbhajan Singh,117
2015,Imran Tahir,5
2015,Iqbal Abdulla,20
2015,J Botha,31
2015,J Suchith,48
2015,J Theron,1
2015,JA Morkel,86
2015,JP Duminy,414
2015,JP Faulkner,144
2015,KA Pollard,419
2015,KD Karthik,141
2015,KK Nair,181
2015,KL Rahul,142
2015,KM Jadhav,189
2015,KS Williamson,31
2015,KV Sharma,104
2015,Karanveer Singh,11
2015,LMP Simmons,540
2015,M Morkel,4
2015,M Vijay,251
2015,M Vohra,82
2015,MA Agarwal,213
2015,MA Starc,11
2015,MC Henriques,287
2015,MEK Hussey,77
2015,MG Johnson,31
2015,MJ McClenaghan,13
2015,MK Pandey,225
2015,MK Tiwary,57
2015,MM Sharma,28
2015,MS Bisla,37
2015,MS Dhoni,372
2015,Mandeep Singh,157
2015,NJ Maddinson,4
2015,NLTC Perera,12
2015,NM Coulter-Nile,20
2015,NV Ojha,137
2015,P Kumar,17
2015,P Negi,116
2015,PA Patel,339
2015,PJ Cummins,0
2015,PP Chawla,54
2015,PV Tambe,3
2015,Parvez Rasool,2
2015,Q de Kock,122
2015,R Ashwin,52
2015,R Bhatia,0
2015,R Dhawan,36
2015,R Vinay Kumar,0
2015,RA Jadeja,132
2015,RG More,2
2015,RG Sharma,482
2015,RN ten Doeschate,61
2015,RR Rossouw,14
2015,RS Bopara,145
2015,RV Uthappa,364
2015,S Aravind,0
2015,S Dhawan,353
2015,S Gopal,1
2015,S Nadeem,2
2015,SA Abbott,15
2015,SA Yadav,157
2015,SE Marsh,93
2015,SK Raina,374
2015,SL Malinga,6
2015,SN Khan,111
2015,SN Thakur,7
2015,SP Narine,0
2015,SPD Smith,298
2015,SR Watson,347
2015,SS Iyer,439
2015,SS Tiwary,109
2015,STR Binny,74
2015,SV Samson,204
2015,Sandeep Sharma,9
2015,Shakib Al Hasan,36
2015,TG Southee,13
2015,UBT Chand,102
2015,UT Yadav,29
2015,V Kohli,505
2015,V Sehwag,99
2015,VR Aaron,6
2015,WP Saha,249
2015,YK Pathan,312
2015,YS Chahal,1
2015,Yuvraj Singh,248
2016,A Ashish Reddy,47
2016,A Mishra,4
2016,A Nehra,1
2016,A Zampa,0
2016,AB de Villiers,687
2016,AD Nath,20
2016,AD Russell,188
2016,AJ Finch,393
2016,AM Rahane,480
2016,AP Tare,8
2016,AR Patel,111
2016,AT Rayudu,334
2016,Ankit Sharma,3
2016,B Kumar,43
2016,BB McCullum,354
2016,BB Sran,4
2016,BCJ Cutting,65
2016,Bipul Sharma,51
2016,C Munro,30
2016,CA Lynn,25
2016,CH Gayle,227
2016,CH Morris,195
2016,CJ Jordan,3
2016,CR Brathwaite,83
2016,D Wiese,5
2016,DA Miller,161
2016,DA Warner,848
2016,DJ Bravo,99
2016,DJ Hooda,144
2016,DR Smith,324
2016,DS Kulkarni,27
2016,DW Steyn,1
2016,EJG Morgan,123
2016,ER Dwivedi,24
2016,F Behardien,14
2016,F du Plessis,206
2016,G Gambhir,501
2016,GJ Bailey,84
2016,GJ Maxwell,179
2016,Gurkeerat Singh,113
2016,HH Pandya,44
2016,HM Amla,157
2016,Harbhajan Singh,92
2016,IK Pathan,11
2016,Imran Tahir,5
2016,Iqbal Abdulla,37
2016,Ishan Kishan,42
2016,J Yadav,6
2016,JA Morkel,16
2016,JC Buttler,255
2016,JJ Bumrah,8
2016,JO Holder,22
2016,JP Duminy,191
2016,JP Faulkner,77
2016,KA Pollard,207
2016,KC Cariappa,13
2016,KD Karthik,335
2016,KH Pandya,237
2016,KJ Abbott,13
2016,KK Nair,357
2016,KL Rahul,397
2016,KM Jadhav,42
2016,KP Pietersen,73
2016,KS Williamson,124
2016,KV Sharma,36
2016,KW Richardson,1
2016,LMP Simmons,8
2016,M Ashwin,0
2016,M Morkel,1
2016,M Vijay,453
2016,M Vohra,161
2016,MA Agarwal,27
2016,MC Henriques,182
2016,MG Johnson,5
2016,MJ Guptill,57
2016,MJ McClenaghan,34
2016,MK Pandey,248
2016,MM Sharma,32
2016,MP Stoinis,146
2016,MR Marsh,7
2016,MS Dhoni,284
2016,Mohammed Shami,2
2016,N Rana,104
2016,NLTC Perera,150
2016,NM Coulter-Nile,9
2016,NS Naik,23
2016,NV Ojha,136
2016,P Kumar,24
2016,P Negi,57
2016,P Sahu,19
2016,PA Patel,177
2016,PP Chawla,27
2016,PSP Handscomb,6
2016,PV Tambe,7
2016,Parvez Rasool,10
2016,Q de Kock,445
2016,R Ashwin,41
2016,R Bhatia,34
2016,R Dhawan,14
2016,R Sathish,24
2016,R Vinay Kumar,13
2016,RA Jadeja,191
2016,RG Sharma,489
2016,RR Pant,198
2016,RV Uthappa,394
2016,S Dhawan,501
2016,S Gopal,2
2016,S Kaushik,0
2016,S Nadeem,1
2016,SA Yadav,182
2016,SB Jakati,1
2016,SE Marsh,159
2016,SK Raina,399
2016,SN Khan,66
2016,SP Narine,7
2016,SPD Smith,270
2016,SR Watson,179
2016,SS Iyer,30
2016,SS Tiwary,170
2016,STR Binny,63
2016,SV Samson,291
2016,SW Billings,88
2016,Sachin Baby,119
2016,Sandeep Sharma,8
2016,Shakib Al Hasan,114
2016,Swapnil Singh,0
2016,TG Southee,30
2016,TM Head,54
2016,UBT Chand,0
2016,UT Khawaja,127
2016,UT Yadav,9
2016,V Kohli,973
2016,WP Saha,270
2016,YK Pathan,361
2016,Yuvraj Singh,236
2016,Z Khan,6
2017,A Choudhary,25
2017,A Mishra,49
2017,A Zampa,5
2017,AB Dinda,7
2017,AB de Villiers,216
2017,AD Mathews,32
2017,AD Nath,0
2017,AF Milne,7
2017,AJ Finch,300
2017,AJ Tye,53
2017,AM Rahane,382
2017,AP Tare,18
2017,AR Bawne,12
2017,AR Patel,227
2017,AS Rajpoot,4
2017,AT Rayudu,91
2017,Ankit Sharma,25
2017,Ankit Soni,7
2017,Anureet Singh,15
2017,B Kumar,4
2017,BA Stokes,316
2017,BB McCullum,320
2017,BCJ Cutting,51
2017,Basil Thampi,28
2017,Bipul Sharma,31
2017,C de Grandhomme,126
2017,CA Lynn,295
2017,CH Gayle,200
2017,CH Morris,154
2017,CJ Anderson,142
2017,CJ Jordan,0
2017,CR Brathwaite,12
2017,CR Woakes,46
2017,DA Miller,83
2017,DA Warner,641
2017,DJ Hooda,78
2017,DL Chahar,14
2017,DM Bravo,6
2017,DR Smith,239
2017,DS Kulkarni,1
2017,DT Christian,79
2017,EJG Morgan,65
2017,F du Plessis,8
2017,G Gambhir,498
2017,GJ Maxwell,310
2017,HH Pandya,250
2017,HM Amla,420
2017,Harbhajan Singh,16
2017,I Sharma,8
2017,IK Pathan,2
2017,IR Jaggi,33
2017,Imran Tahir,0
2017,Iqbal Abdulla,5
2017,Ishan Kishan,277
2017,JC Buttler,273
2017,JD Unadkat,2
2017,JJ Bumrah,16
2017,JJ Roy,59
2017,JP Faulkner,54
2017,K Rabada,55
2017,KA Pollard,395
2017,KC Cariappa,2
2017,KD Karthik,361
2017,KH Pandya,243
2017,KK Nair,281
2017,KM Jadhav,267
2017,KS Williamson,256
2017,KV Sharma,49
2017,Kuldeep Yadav,20
2017,LH Ferguson,1
2017,LMP Simmons,137
2017,M Vohra,229
2017,MA Agarwal,26
2017,MC Henriques,277
2017,MG Johnson,20
2017,MJ Guptill,132
2017,MJ McClenaghan,16
2017,MK Pandey,396
2017,MK Tiwary,324
2017,MM Patel,0
2017,MM Sharma,51
2017,MN Samuels,29
2017,MP Stoinis,17
2017,MS Dhoni,290
2017,Mandeep Singh,188
2017,Mohammad Nabi,2
2017,Mohammed Shami,36
2017,N Rana,333
2017,NM Coulter-Nile,14
2017,NV Ojha,79
2017,P Kumar,8
2017,P Negi,144
2017,PA Patel,395
2017,PJ Cummins,77
2017,PJ Sangwan,2
2017,PP Chawla,2
2017,R Bhatia,16
2017,R Tewatia,19
2017,RA Jadeja,158
2017,RA Tripathi,391
2017,RD Chahar,3
2017,RG Sharma,333
2017,RR Pant,366
2017,RV Uthappa,388
2017,Rashid Khan,11
2017,S Aravind,32
2017,S Badree,13
2017,S Dhawan,479
2017,S Kaul,0
2017,S Nadeem,2
2017,SA Yadav,105
2017,SE Marsh,264
2017,SK Raina,442
2017,SL Malinga,7
2017,SN Thakur,0
2017,SP Jackson,38
2017,SP Narine,224
